method,embedding_size,fraction,rmse,mae,precision_at_10,recall_at_10,co2_kg,n_train,n_test,n_users,n_items
NCF_emb20,20,10,0.8693666380616353,0.6794527437251333,0.09751655629139074,0.016943566257749173,0.00025663194341136693,304805,76202,604,3624
NCF_emb20,20,25,0.8659916569129528,0.6814832402611859,0.06642384105960265,0.01697555696535562,0.0004194604557139178,512724,128182,1510,3656
NCF_emb20,20,50,0.8720720904995469,0.6846319335813846,0.041291390728476825,0.01588760928719227,0.0006228334180719112,683689,170923,3020,3671
NCF_emb20,20,75,0.8778154991794586,0.6926888443455207,0.044564737074679624,0.023421384401587603,0.0006953902212551589,763495,190874,4530,3691
NCF_emb50,50,10,0.869361394738494,0.6815136223167125,0.08427152317880794,0.016185877234361865,0.0003439154849685759,304805,76202,604,3624
NCF_emb50,50,25,0.880958558003272,0.7008311429105359,0.06834437086092715,0.017563066364058105,0.0006188977667892609,512724,128182,1510,3656
NCF_emb50,50,50,0.8752341237060101,0.6904261938768445,0.04165562913907285,0.016058725383328424,0.0009878185568294676,683689,170923,3020,3671
NCF_emb50,50,75,0.881747910349149,0.6954273212317885,0.029518338488731775,0.016503501795158144,0.0012092575092108703,763495,190874,4530,3691
NCF_emb100,100,10,0.8715331476955837,0.6829961514395367,0.08327814569536424,0.015353965194490138,0.0005451726807323421,304805,76202,604,3624
NCF_emb100,100,25,0.8646610540277633,0.6801336480275856,0.06701986754966888,0.017626246094382274,0.0010045867304091757,512724,128182,1510,3656
NCF_emb100,100,50,0.8712982567690817,0.689107466359025,0.046092715231788074,0.01722654669401063,0.0017123736057678693,683689,170923,3020,3671
NCF_emb100,100,75,0.8819525858204083,0.6918905020766898,0.031396376491383125,0.017419182335274168,0.002338623011475245,763495,190874,4530,3691
