fraction,embedding_dim,n_params,rmse,mae,precision_at_k,recall_at_k,emissions_kg,epochs,batch_size
10,20,415397,1.0070014284465423,0.7524484959461831,0.007679277244494636,0.07679277244494635,0.0007699869009296856,10,1024
10,50,1022747,0.9559008636638878,0.6808684494519076,0.013438735177865613,0.13438735177865613,0.0008553777808698703,10,1024
10,100,2034997,0.939860462395187,0.6433089445560973,0.020892151326933936,0.20892151326933936,0.0010988462059259704,10,1024
25,20,415397,0.8837973389455901,0.6592076457691508,0.005229495861550037,0.052294958615500375,0.0011509806747314907,10,1024
25,50,1022747,0.8067229574820793,0.5557629108626322,0.006508653122648608,0.06508653122648608,0.0013809773009298,10,1024
25,100,2034997,0.7591183212788866,0.4854294146330941,0.011662904439428141,0.11662904439428141,0.001908204799066852,10,1024
50,20,415397,0.7131838906777364,0.5427605637256673,0.0038297872340425534,0.03829787234042553,0.001650957066320351,10,1024
50,50,1022747,0.5852926209742243,0.41647593592176374,0.004407294832826748,0.044072948328267476,0.0018713790505468536,10,1024
50,100,2034997,0.5039982859579164,0.32337761440419205,0.007781155015197569,0.07781155015197569,0.002287969730071056,10,1024
75,20,415397,0.6488028856661765,0.5090843227328055,0.002940336854125036,0.029403368541250356,0.0016363152938865084,10,1024
75,50,1022747,0.4834420762115487,0.3599045409864148,0.003996574364830145,0.03996574364830146,0.0020084450297077117,10,1024
75,100,2034997,0.36362638984605306,0.25686467390581474,0.006565800742220953,0.06565800742220954,0.002318581502365347,10,1024
