dataset,rmse,mae,precision_at_k,recall_at_k,coverage,diversity,novelty,emissions_kg
random_10,0.9632461042171748,0.7640523247336157,0.2282650244213209,0.8353145609955616,2690,0,0,8.8763064750573e-06
random_25,0.9414474151717106,0.7457720329093577,0.3789641152554358,0.8391274085730647,3107,0,0,2.2505019530183242e-05
random_50,0.9181942817023774,0.7247965871482972,0.5229359340844123,0.769829622835845,3320,0,0,4.039349740904188e-05
random_75,0.8927469414027613,0.702913206542869,0.6187791084497672,0.694492213093954,3403,0,0,7.166073247890621e-05
informed_users_10,0.8610406016767519,0.676441405384095,0.8548013245033111,0.1610233366005105,3309,0,0,3.5780157987609573e-05
informed_users_25,0.8545232097067976,0.6711411582185441,0.8543708609271524,0.23142799071324816,3394,0,0,5.3386019084740224e-05
informed_users_50,0.8627198779462109,0.6772571213821199,0.8300662251655629,0.36595142330525926,3456,0,0,6.696350023226871e-05
informed_users_75,0.8707101463178716,0.6833498891899543,0.7780794701986755,0.5225226033543905,3466,0,0,7.846248406374534e-05
informed_items_10,0.8610218445615749,0.6741044857815089,0.5846566164154103,0.7740806038621224,370,0,0,3.4232952792829504e-05
informed_items_25,0.8617630408346774,0.6746101904098701,0.6491702621971457,0.68610810647769,926,0,0,5.395475579120439e-05
informed_items_50,0.8692019599835035,0.6810365846816396,0.6741593506708631,0.6466922847503607,1853,0,0,7.135826336083142e-05
informed_items_75,0.8690975668265241,0.6821455973905451,0.681795593837999,0.6354814528107254,2779,0,0,8.5469863830129e-05
