method,fraction,rmse,mae,emissions_kg,improvement_vs_75
ItemKNN_k20,25,1.1006,0.859,0.0001,-12.4575
ItemKNN_k20,50,1.0239,0.7967,0.0002,-4.6195
ItemKNN_k20,75,0.9787,0.7614,0.0003,0.0
ItemKNN_k30,25,1.1122,0.8739,0.0001,-10.0721
ItemKNN_k30,50,1.0494,0.8223,0.0002,-3.8617
ItemKNN_k30,75,1.0104,0.7911,0.0003,0.0
ItemKNN_k40,25,1.1188,0.8815,0.0001,-8.7897
ItemKNN_k40,50,1.0611,0.8348,0.0002,-3.1775
ItemKNN_k40,75,1.0284,0.809,0.0003,0.0
NCF_emb100,10,2.4611,1.8183,0.001,-429.7299
NCF_emb100,25,1.6936,1.0297,0.0015,-264.5347
NCF_emb100,50,0.8201,0.4364,0.0019,-76.5095
NCF_emb100,75,0.4646,0.2833,0.0022,0.0
NCF_emb20,10,2.408,1.8897,0.0007,-223.4449
NCF_emb20,25,1.7308,1.2096,0.001,-132.4799
NCF_emb20,50,0.8413,0.6165,0.0014,-13.0047
NCF_emb20,75,0.7445,0.5576,0.0014,0.0
NCF_emb50,10,2.4249,1.8392,0.0008,-298.7706
NCF_emb50,25,1.6512,1.0715,0.0012,-171.5405
NCF_emb50,50,0.7824,0.5068,0.0016,-28.6583
NCF_emb50,75,0.6081,0.4181,0.0017,0.0
SVD_f100,25,0.9261,0.7011,0.0001,-29.4176
SVD_f100,50,0.7754,0.6,0.0001,-8.3511
SVD_f100,75,0.7156,0.5652,0.0001,0.0
SVD_f20,25,0.9992,0.7761,0.0,-17.5219
SVD_f20,50,0.8892,0.698,0.0,-4.5886
SVD_f20,75,0.8502,0.6728,0.0,0.0
SVD_f50,25,0.9657,0.7426,0.0,-22.2789
SVD_f50,50,0.836,0.6538,0.0,-5.8618
SVD_f50,75,0.7897,0.6231,0.0001,0.0
informed_items,10,0.861,0.6741,0.0,0.9292
informed_items,25,0.8618,0.6746,0.0001,0.8439
informed_items,50,0.8692,0.681,0.0001,-0.012
informed_items,75,0.8691,0.6821,0.0001,0.0
informed_users,10,0.861,0.6764,0.0,1.1105
informed_users,25,0.8545,0.6711,0.0001,1.859
informed_users,50,0.8627,0.6773,0.0001,0.9177
informed_users,75,0.8707,0.6833,0.0001,0.0
random,10,0.9632,0.7641,0.0,-7.8969
random,25,0.9414,0.7458,0.0,-5.4551
random,50,0.9182,0.7248,0.0,-2.8505
random,75,0.8927,0.7029,0.0001,0.0
