method,fraction,rmse,mae,precision_at_10,recall_at_10,co2_kg,n_train,n_test
UserKNN_k20,25,0.9718627494557135,0.7631971453525225,0.8332450331125828,0.22465945336559406,0.00015554951025119625,512724,128182
UserKNN_k20,50,0.9800278164191647,0.7692248070276048,0.8010264900662253,0.35209577349584653,0.00031707774721876107,683689,170923
UserKNN_k20,75,0.9829260429771404,0.774048993508405,0.7526931567328918,0.5099958922562453,0.0004413156915266361,763495,190874
UserKNN_k30,25,0.9670125359661856,0.7602269664999702,0.8346357615894041,0.22499649154137427,0.00013704150183247067,512724,128182
UserKNN_k30,50,0.973912422068188,0.7647107752648393,0.8085099337748345,0.35526108283931807,0.0003071696944384014,683689,170923
UserKNN_k30,75,0.975405768493742,0.7678965491281061,0.7586754966887418,0.5136056988734107,0.0004305974449888707,763495,190874
UserKNN_k40,25,0.964276048698284,0.7586321788741566,0.8366887417218544,0.22558441286126069,0.00015113641250230438,512724,128182
UserKNN_k40,50,0.970731214028047,0.762417728260378,0.8136754966887417,0.3574548540621738,0.0003190161903192997,683689,170923
UserKNN_k40,75,0.971782290069609,0.7650187220379809,0.7633774834437087,0.5164786731999544,0.0004759887795904297,763495,190874
SVD_f20,25,0.8605791638822354,0.6767236626817988,0.6483147932923793,0.6866736207991718,3.278482937993339e-05,578460,144615
SVD_f20,50,0.8685720181382092,0.6835262889254324,0.6761020881670533,0.6454466355794185,4.457084907426819e-05,739111,184778
SVD_f20,75,0.8687058852125932,0.6824465839786975,0.6805633802816901,0.6355142237883458,4.484201897426248e-05,790942,197736
SVD_f50,25,0.8575331025554536,0.6730227886339791,0.6481321600531297,0.6863574458745345,4.02608869251744e-05,578460,144615
SVD_f50,50,0.8688833989265131,0.6828245025923355,0.6765992707988067,0.6456382636540882,5.4313450456449166e-05,739111,184778
SVD_f50,75,0.8669201198804163,0.6798220757096644,0.6816901408450704,0.636092492577418,5.558887295020656e-05,790942,197736
SVD_f100,25,0.8595692019498442,0.673470563308209,0.648381205379379,0.6860241549772945,5.199042720112271e-05,578460,144615
SVD_f100,50,0.8698008798683791,0.6830306699896384,0.677113026184952,0.6452106765952196,7.209196006428851e-05,739111,184778
SVD_f100,75,0.8706999128344699,0.6823787237624994,0.6807456503728252,0.6354801085805514,7.796182469411631e-05,790942,197736
